allocator	elapsed_ns	net_mmap_bytes
ptmalloc	0	0.0
ptmalloc	271131	8192.0
ptmalloc	1509698	193407.0
ptmalloc	2560266	2146511.0
ptmalloc	3332459	3547343.0
ptmalloc	235789525	3887311.0
ptmalloc	236931178	3911887.0
ptmalloc	237907939	3943967.0
ptmalloc	241568533	3956255.0
ptmalloc	247899619	3771040.0
ptmalloc	251076348	124361376.0
ptmalloc	251916538	237845152.0
ptmalloc	252016268	313449120.0
ptmalloc	252946533	365521568.0
ptmalloc	253841109	434916000.0
ptmalloc	253937384	446089888.0
ptmalloc	254968830	490658464.0
ptmalloc	256421808	614210208.0
ptmalloc	257529291	675003040.0
ptmalloc	258532960	765205152.0
ptmalloc	261850116	873609888.0
ptmalloc	264671096	980654752.0
ptmalloc	265855970	1053633184.0
ptmalloc	268281871	1083407008.0
ptmalloc	269736926	1112677024.0
ptmalloc	272444860	1146817184.0
ptmalloc	273520862	1264728736.0
ptmalloc	276206569	1376676512.0
ptmalloc	277512820	1415199392.0
ptmalloc	278681124	1420475040.0
ptmalloc	279819081	1546934944.0
ptmalloc	283037912	1593084576.0
ptmalloc	285806542	1644022432.0
ptmalloc	288180582	1713515168.0
ptmalloc	289346341	1721023136.0
ptmalloc	290347567	1819712160.0
ptmalloc	291301240	1853926048.0
ptmalloc	291332794	1964604064.0
ptmalloc	292319931	2015103648.0
ptmalloc	293317301	2106284704.0
ptmalloc	293418789	2162334368.0
ptmalloc	294449703	2223504032.0
ptmalloc	295800981	2343848608.0
ptmalloc	297095928	2390170272.0
ptmalloc	298177205	2475530912.0
ptmalloc	299779467	2501421728.0
ptmalloc	301209092	2593417888.0
ptmalloc	302217708	2604092064.0
ptmalloc	303290651	2613820064.0
ptmalloc	304354649	2728151712.0
ptmalloc	305662363	2824886944.0
ptmalloc	307260386	2862553760.0
ptmalloc	308138195	2959714976.0
ptmalloc	309203249	3075562144.0
ptmalloc	309232995	3200613024.0
ptmalloc	310675766	3220302496.0
ptmalloc	312340115	3341114016.0
ptmalloc	313571267	3438975648.0
ptmalloc	315001361	3456477856.0
ptmalloc	316173377	3473730208.0
ptmalloc	318950421	3505990304.0
ptmalloc	320216233	3538807456.0
ptmalloc	322883024	3583003296.0
ptmalloc	324055624	3600210592.0
ptmalloc	326711793	3660200608.0
ptmalloc	327748782	3734067872.0
ptmalloc	529706664	3833617056.0
ptmalloc	530804108	3868629664.0
ptmalloc	531710074	3884485280.0
ptmalloc	532713900	3989600928.0
ptmalloc	532810327	4026895008.0
ptmalloc	533859667	4112173728.0
ptmalloc	534822022	4156836512.0
ptmalloc	535855421	4214557344.0
ptmalloc	535900226	4265470624.0
ptmalloc	536843911	4370328224.0
ptmalloc	538257688	4456598176.0
ptmalloc	539282316	4500388512.0
ptmalloc	541755929	4542679712.0
ptmalloc	543126992	4583619232.0
ptmalloc	545611041	4713052832.0
ptmalloc	548057771	4727659168.0
ptmalloc	549513826	4738063008.0
ptmalloc	550989971	4855425696.0
ptmalloc	552013832	4866845344.0
ptmalloc	553418530	4956457632.0
ptmalloc	561510973	5080689312.0
ptmalloc	563626742	5129693856.0
ptmalloc	563666456	5233175200.0
ptmalloc	564779796	5264751264.0
ptmalloc	564872001	5396658848.0
ptmalloc	564963321	5408397984.0
ptmalloc	565974992	5518326432.0
ptmalloc	566005552	5624568480.0
ptmalloc	567417162	5756897952.0
ptmalloc	567548351	5890673312.0
ptmalloc	568869828	5961988768.0
ptmalloc	571609651	6087301792.0
ptmalloc	572480474	6216252064.0
ptmalloc	573534948	6265977504.0
ptmalloc	573634299	6336924320.0
ptmalloc	574667170	6379600544.0
ptmalloc	576151361	6508071584.0
ptmalloc	577177537	6574037664.0
ptmalloc	578214269	6647290528.0
ptmalloc	579259804	6730185376.0
ptmalloc	580251701	6819736224.0
