round	allocs	total_bytes	alloc_start_time	alloc_end_time
0	1024	69718030096	1682391341.615929142	1682391349.245496136
1	1024	70977517360	1682391349.417622142	1682391352.418073654
2	1024	71586720728	1682391353.238567321	1682391358.473742760
3	1024	70814038096	1682391359.882806429	1682391363.836899436
4	1024	71914728448	1682391364.544537731	1682391368.924171298
5	1024	67742105944	1682391369.652340512	1682391372.610489504
6	1024	69707155912	1682391373.060562867	1682391376.649241124
7	1024	67739917792	1682391377.673003388	1682391380.017801091
8	1024	70919871072	1682391380.246750910	1682391382.786595125
9	1024	69085164104	1682391383.735973772	1682391386.996577488
10	1024	68618696984	1682391388.299817240	1682391390.295393368
11	1024	70005862584	1682391390.762862674	1682391393.507427874
12	1024	70319984624	1682391393.981132865	1682391396.708193226
13	1024	68936211272	1682391397.422088158	1682391400.927676582
14	1024	69775079568	1682391401.579995310	1682391404.556550572
15	1024	69797817304	1682391405.210043267	1682391407.703957792
