round	allocs	total_bytes	alloc_start_time	alloc_end_time
0	1024	70083627160	1682391103.666986301	1682391103.716628848
1	1024	68926167816	1682391105.044788172	1682391105.047243073
2	1024	70751327712	1682391105.731944503	1682391105.734231868
3	1024	69503728192	1682391106.856262519	1682391106.858319059
4	1024	69056144960	1682391108.912034675	1682391108.914014374
5	1024	71037771864	1682391110.050280837	1682391110.052755381
6	1024	71503867768	1682391110.989817829	1682391110.991752699
7	1024	69593848840	1682391112.311063121	1682391112.312731256
8	1024	68191891472	1682391113.170417661	1682391113.172509314
9	1024	67087772576	1682391114.525584203	1682391114.527669673
10	1024	69545530480	1682391116.120661436	1682391116.122508658
11	1024	70739252400	1682391116.634505123	1682391116.636215812
12	1024	70292724784	1682391117.560098986	1682391117.562237872
13	1024	70617651872	1682391118.566882341	1682391118.568434123
14	1024	68439875544	1682391119.499930893	1682391119.501453973
15	1024	69243079704	1682391120.644536111	1682391120.646400799
