round	allocs	total_bytes	alloc_start_time	alloc_end_time
0	1024	70974203440	1682390913.333503019	1682390914.336548780
1	1024	69193372864	1682390914.955484197	1682390916.376126212
2	1024	69777666048	1682390917.499025480	1682390918.273947910
3	1024	70127186392	1682390918.791327187	1682390919.385740856
4	1024	68936769560	1682390920.270655056	1682390921.619735647
5	1024	68585959128	1682390921.895182261	1682390922.632632942
6	1024	69992028840	1682390923.479787032	1682390924.635362483
7	1024	72303358248	1682390925.783960437	1682390926.901644915
8	1024	69399768232	1682390927.599612902	1682390928.120722107
9	1024	70932047272	1682390928.711295427	1682390929.371098920
10	1024	69933102840	1682390929.769236523	1682390930.195348663
11	1024	69985095656	1682390930.576920731	1682390931.263163192
12	1024	70162885536	1682390931.665280636	1682390932.709630631
13	1024	68533163264	1682390933.620177831	1682390934.622481981
14	1024	70150519672	1682390935.480867922	1682390936.711145436
15	1024	71189750136	1682390937.708964133	1682390938.703530729
