1682390862.263677135 brk(NULL)          = 0x1c4e000 <0.000006>
1682390862.263786122 mmap(NULL, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0) = 0x7fbd32006000 <0.000008>
1682390862.265624106 mmap(NULL, 185215, PROT_READ, MAP_PRIVATE, 3, 0) = 0x7fbd31fd8000 <0.000007>
1682390862.267139957 mmap(NULL, 1953104, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 3, 0) = 0x7fbd31dfb000 <0.000009>
1682390862.267953896 mmap(0x7fbd31e21000, 1400832, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x26000) = 0x7fbd31e21000 <0.000014>
1682390862.267990594 mmap(0x7fbd31f77000, 339968, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x17c000) = 0x7fbd31f77000 <0.000010>
1682390862.268788762 mmap(0x7fbd31fca000, 24576, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x1ce000) = 0x7fbd31fca000 <0.000035>
1682390862.268906895 mmap(0x7fbd31fd0000, 32080, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x7fbd31fd0000 <0.000026>
1682390862.269096994 mmap(NULL, 12288, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0) = 0x7fbd31df8000 <0.000009>
1682390862.270307698 mprotect(0x7fbd31fca000, 16384, PROT_READ) = 0 <0.000009>
1682390862.271231602 mprotect(0x403000, 4096, PROT_READ) = 0 <0.000008>
1682390862.271262639 mprotect(0x7fbd3203b000, 8192, PROT_READ) = 0 <0.000010>
1682390862.271329256 munmap(0x7fbd31fd8000, 185215) = 0 <0.000018>
1682390862.273133193 brk(NULL)          = 0x1c4e000 <0.000019>
1682390862.274378037 brk(0x1c6f000)     = 0x1c6f000 <0.000020>
1682390862.274496878 mmap(NULL, 84291584, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0) = 0x7fbd2cd95000 <0.000023>
1682390862.274600368 mmap(NULL, 70074368, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0) = 0x7fbd28ac1000 <0.000022>
1682390862.275723266 mmap(NULL, 77443072, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0) = 0x7fbd240e6000 <0.000021>
1682390862.275824529 mmap(NULL, 80986112, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0) = 0x7fbd1f3aa000 <0.000021>
