1682390889.850133442 brk(NULL)          = 0x14ce000 <0.000006>
1682390889.850245706 mmap(NULL, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0) = 0x7fa41b771000 <0.000011>
1682390889.851510263 mmap(NULL, 185215, PROT_READ, MAP_PRIVATE, 3, 0) = 0x7fa41b743000 <0.000025>
1682390889.852750150 mmap(NULL, 1953104, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 3, 0) = 0x7fa41b566000 <0.000009>
1682390889.853658469 mmap(0x7fa41b58c000, 1400832, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x26000) = 0x7fa41b58c000 <0.000015>
1682390889.853696224 mmap(0x7fa41b6e2000, 339968, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x17c000) = 0x7fa41b6e2000 <0.000011>
1682390889.854923605 mmap(0x7fa41b735000, 24576, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x1ce000) = 0x7fa41b735000 <0.000036>
1682390889.855041338 mmap(0x7fa41b73b000, 32080, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x7fa41b73b000 <0.000008>
1682390889.855099505 mmap(NULL, 12288, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0) = 0x7fa41b563000 <0.000008>
1682390889.855964796 mprotect(0x7fa41b735000, 16384, PROT_READ) = 0 <0.000034>
1682390889.857081666 mprotect(0x403000, 4096, PROT_READ) = 0 <0.000025>
1682390889.857183858 mprotect(0x7fa41b7a6000, 8192, PROT_READ) = 0 <0.000030>
1682390889.857406112 munmap(0x7fa41b743000, 185215) = 0 <0.000019>
1682390889.859099108 brk(NULL)          = 0x14ce000 <0.000018>
1682390889.860492831 brk(0x14ef000)     = 0x14ef000 <0.000021>
1682390889.860610447 mmap(NULL, 60264448, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0) = 0x7fa417bea000 <0.000023>
1682390889.860713360 mmap(NULL, 53309440, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0) = 0x7fa414913000 <0.000022>
