run	round	allocs	total_bytes	alloc_start_time	alloc_end_time	kernel_secs	cumul_mmap_bytes	cumul_munmap_bytes	frag
1	0	1024	70004880432	1682391207.540309234	1682391215.296795594	0.119787	153718847695.0	0.0	2.195830444197622
1	1	1024	69876790984	1682391215.702688938	1682391219.794022899	0.059165	234497136847.0	77089579903.0	2.2526443290740454
1	2	1024	68476675264	1682391220.960646149	1682391223.030976785	0.068291	320176273615.0	156881630079.0	2.384675408180168
1	3	1024	71327659824	1682391223.708764341	1682391228.581498280	0.066783	411834251471.0	245419934591.0	2.333096547547263
1	4	1024	68520286432	1682391229.644659005	1682391232.743388161	0.072507	501919193295.0	333880767359.0	2.4523894263454733
1	5	1024	70141731936	1682391233.210511128	1682391235.832809260	0.070535	595049879759.0	426780390271.0	2.3989925090748474
1	6	1024	69179437000	1682391236.606961855	1682391238.211498699	0.070908	687145883855.0	518183617407.0	2.442377009341663
1	7	1024	69261058784	1682391238.780462209	1682391242.262767299	0.072695	779034441935.0	610537501567.0	2.4327803144546283
1	8	1024	70554936760	1682391242.937124934	1682391246.097594425	0.067843	873148840143.0	703130977151.0	2.409723129230964
1	9	1024	70041301664	1682391246.777364630	1682391250.120610995	0.068293	965891446991.0	795267134335.0	2.4360528517090354
1	10	1024	71049100424	1682391250.591864344	1682391253.818924760	0.068343	1061912959183.0	889395946367.0	2.428137890366937
1	11	1024	70315324248	1682391254.499902762	1682391257.312140101	0.070255	1155948468431.0	984124584831.0	2.4436193025859114
1	12	1024	69944340152	1682391258.024050753	1682391261.509518093	0.065241	1245431978191.0	1079129047935.0	2.3776467101497807
1	13	1024	69853229864	1682391261.765915654	1682391265.172412267	0.065993	1337121020111.0	1169383297919.0	2.4012879936772453
1	14	1024	71531967216	1682391265.656623952	1682391269.514827705	0.067786	1434694449359.0	1260983628671.0	2.4284362285669814
1	15	1024	69935776760	1682391270.428208637	1682391273.586565159	0.069297	1526081272015.0	1356451591039.0	2.425506498027777
2	0	1024	68199316016	1682391273.960287017	1682391280.663939019	0.110094	149386016975.0	0.0	2.1904327741344662
2	1	1024	67141323392	1682391281.005113519	1682391282.677957083	0.049835	227133888719.0	74922902399.0	2.2670239225301922
2	2	1024	67948837304	1682391284.060702853	1682391286.461159066	0.068684	318207301839.0	149903864703.0	2.4769141579718
2	3	1024	68353497624	1682391286.669250745	1682391289.362357993	0.064314	406624614607.0	243641774975.0	2.3844111171682623
2	4	1024	68558046736	1682391290.066320530	1682391292.518553212	0.066028	496230013135.0	331843986303.0	2.3977641525437523
2	5	1024	71505763128	1682391293.153309545	1682391295.855578084	0.062429	587475351759.0	421007930239.0	2.3280280391108112
2	6	1024	69461723336	1682391296.831580662	1682391300.734303758	0.066325	678906722511.0	509481182079.0	2.4391208898238155
2	7	1024	70184837784	1682391300.981178418	1682391304.078120196	0.055666	770685212879.0	603170861951.0	2.3867598218797643
2	8	1024	70000104672	1682391304.337611508	1682391306.824923262	0.063277	862951397583.0	693212656511.0	2.4248355322802166
2	9	1024	68698012984	1682391308.082680728	1682391312.247210568	0.068063	954444986575.0	786710705023.0	2.441617657719822
2	10	1024	71853908736	1682391312.925076399	1682391315.851153122	0.080786	1051785222351.0	879340729215.0	2.399931975441754
2	11	1024	70704170696	1682391316.356909394	1682391319.817853391	0.089949	1144583706831.0	972030813055.0	2.4404910216387274
2	12	1024	68814020072	1682391320.738157674	1682391324.608710226	0.075027	1232875321551.0	1067074618239.0	2.409402955074024
2	13	1024	70010566352	1682391325.944387027	1682391331.664712487	0.067949	1324808698063.0	1157942068095.0	2.38344922292195
2	14	1024	70450557376	1682391332.355714737	1682391336.540661881	0.068205	1418583275727.0	1248580399999.0	2.413080634986061
2	15	1024	70905818288	1682391337.291535180	1682391340.675151681	0.073335	1512649537743.0	1341599658879.0	2.412353217182295
3	0	1024	69718030096	1682391341.615929142	1682391349.245496136	0.117164	151761189071.0	0.0	2.176785386248415
3	1	1024	70977517360	1682391349.417622142	1682391352.418073654	0.056285	234839226575.0	76088329087.0	2.2366363799794646
3	2	1024	71586720728	1682391353.238567321	1682391358.473742760	0.079009	331488106703.0	155795694463.0	2.454259818766649
3	3	1024	70814038096	1682391359.882806429	1682391363.836899436	0.072334	425427482831.0	253364257663.0	2.4297897675986246
3	4	1024	71914728448	1682391364.544537731	1682391368.924171298	0.070240	521169008847.0	348229899135.0	2.404780125632381
3	5	1024	67742105944	1682391369.652340512	1682391372.610489504	0.072832	609132894415.0	442673763199.0	2.457247658547933
3	6	1024	69707155912	1682391373.060562867	1682391376.649241124	0.063620	699149916367.0	535179486079.0	2.35227543202308
3	7	1024	67739917792	1682391377.673003388	1682391380.017801091	0.069859	789437503695.0	621995250559.0	2.471840217612055
3	8	1024	70919871072	1682391380.246750910	1682391382.786595125	0.069838	884517009615.0	715488060287.0	2.383379252852796
3	9	1024	69085164104	1682391383.735973772	1682391386.996577488	0.071979	974677473487.0	806649623423.0	2.4321842792622284
3	10	1024	68618696984	1682391388.299817240	1682391390.295393368	0.066393	1062039378127.0	898974417791.0	2.3763925504738492
3	11	1024	70005862584	1682391390.762862674	1682391393.507427874	0.068890	1153044928719.0	986425975679.0	2.3800714238764504
3	12	1024	70319984624	1682391393.981132865	1682391396.708193226	0.069370	1247760726223.0	1076592169855.0	2.434138137020876
3	13	1024	68936211272	1682391397.422088158	1682391400.927676582	0.070594	1340522305743.0	1168691139455.0	2.4926111127577024
3	14	1024	69775079568	1682391401.579995310	1682391404.556550572	0.066807	1433935730895.0	1263300866943.0	2.445498665260655
3	15	1024	69797817304	1682391405.210043267	1682391407.703957792	0.071432	1522938190031.0	1357614142335.0	2.3686134335109865
4	0	1024	69316621400	1682391408.227300273	1682391417.889212377	0.136038	151029266639.0	0.0	2.1788319105668355
4	1	1024	69039491192	1682391418.097385828	1682391421.190308608	0.059182	232693717199.0	75722367871.0	2.2736458021027417
4	2	1024	72710520848	1682391421.687230393	1682391424.437479966	0.070432	332900948175.0	155373949823.0	2.441558611897677
4	3	1024	68638527480	1682391425.816806506	1682391428.945775463	0.079811	423201487055.0	253208953727.0	2.476634327237464
4	4	1024	70913041480	1682391429.351937874	1682391431.977904857	0.064959	514603423951.0	348209394559.0	2.346451737497806
4	5	1024	68766352368	1682391432.442569288	1682391436.376899459	0.072749	609005828303.0	435363726207.0	2.5251027009075924
4	6	1024	68555323552	1682391436.874460784	1682391439.554312224	0.061531	698720303311.0	533176517503.0	2.41474734901416
4	7	1024	69753702024	1682391439.963182161	1682391443.931224282	0.067212	792591898831.0	623600202623.0	2.422691431486395
4	8	1024	68557275040	1682391444.179153704	1682391447.953738533	0.068255	884640225487.0	715940340607.0	2.4607145599292184
4	9	1024	69629376672	1682391448.879183584	1682391450.755623863	0.067205	974014544079.0	808640803711.0	2.3750570272518554
4	10	1024	70844799320	1682391451.907437685	1682391455.145187606	0.070114	1067325307087.0	897533862783.0	2.396667729088572
4	11	1024	70492606680	1682391455.363755172	1682391461.340113555	0.065973	1159908137167.0	989419807615.0	2.4185278085392543
4	12	1024	70485816352	1682391461.519813362	1682391465.591978212	0.065191	1256504228047.0	1081942573951.0	2.47655007958274
4	13	1024	69528320240	1682391466.601208775	1682391470.248324256	0.064496	1345200683215.0	1179147109247.0	2.3882868649035554
4	14	1024	70268169008	1682391471.154202316	1682391474.630622139	0.066317	1441159755983.0	1269473874815.0	2.4432952159099752
