run	round	allocs	total_bytes	alloc_start_time	alloc_end_time	kernel_secs	cumul_mmap_bytes	cumul_munmap_bytes	frag
1	0	1024	70083627160	1682391103.666986301	1682391103.716628848	0.001491	79512583743.0	0.0	1.13453864996847
1	1	1024	68926167816	1682391105.044788172	1682391105.047243073	0.016066	79512583743.0	0.0	1.1535906646552683
1	2	1024	70751327712	1682391105.731944503	1682391105.734231868	0.016938	79512583743.0	0.0	1.1238316836492952
1	3	1024	69503728192	1682391106.856262519	1682391106.858319059	0.017165	79579692607.0	0.0	1.1449701286118887
1	4	1024	69056144960	1682391108.912034675	1682391108.914014374	0.016054	79579692607.0	0.0	1.1523911833348885
1	5	1024	71037771864	1682391110.050280837	1682391110.052755381	0.016615	79579692607.0	0.0	1.120244772870316
1	6	1024	71503867768	1682391110.989817829	1682391110.991752699	0.016553	79579692607.0	0.0	1.112942489561581
1	7	1024	69593848840	1682391112.311063121	1682391112.312731256	0.016962	79579692607.0	0.0	1.1434874480064752
1	8	1024	68191891472	1682391113.170417661	1682391113.172509314	0.015663	79579692607.0	0.0	1.1669964109981594
1	9	1024	67087772576	1682391114.525584203	1682391114.527669673	0.016809	79663578687.0	0.0	1.1874530279978155
1	10	1024	69545530480	1682391116.120661436	1682391116.122508658	0.016671	79663578687.0	0.0	1.1454881160178907
1	11	1024	70739252400	1682391116.634505123	1682391116.636215812	0.017682	79663578687.0	0.0	1.1261580520604992
1	12	1024	70292724784	1682391117.560098986	1682391117.562237872	0.018140	79663578687.0	0.0	1.1333118602500523
1	13	1024	70617651872	1682391118.566882341	1682391118.568434123	0.016689	79663578687.0	0.0	1.1280972472916042
1	14	1024	68439875544	1682391119.499930893	1682391119.501453973	0.017764	79663578687.0	0.0	1.1639936229250487
1	15	1024	69243079704	1682391120.644536111	1682391120.646400799	0.017312	79663578687.0	0.0	1.1504915585434026
2	0	1024	71108650224	1682391123.114492147	1682391123.158588569	0.001458	79315451455.0	0.0	1.1154121362892937
2	1	1024	70720563640	1682391124.133693858	1682391124.136050160	0.021959	79315451455.0	0.0	1.12153307853642
2	2	1024	69437886016	1682391126.954507661	1682391126.956658862	0.017966	79382560319.0	0.0	1.1432168355572998
2	3	1024	70621559296	1682391127.652048747	1682391127.654047090	0.016093	79382560319.0	0.0	1.1240556157402237
2	4	1024	68698713376	1682391128.288829007	1682391128.290996925	0.016530	79382560319.0	0.0	1.1555174240968016
2	5	1024	70813621856	1682391129.237338609	1682391129.239601930	0.016664	79382560319.0	0.0	1.1210069226571266
2	6	1024	69955564544	1682391131.107663810	1682391131.109854954	0.015476	79382560319.0	0.0	1.134756910854042
2	7	1024	70735211688	1682391133.562583842	1682391133.564384249	0.015963	79382560319.0	0.0	1.122249561776133
2	8	1024	68201882128	1682391134.262653240	1682391134.264637040	0.016446	79382560319.0	0.0	1.1639350387723364
2	9	1024	70044993832	1682391135.172485608	1682391135.174178387	0.018169	79382560319.0	0.0	1.1333081206259474
2	10	1024	67730087864	1682391136.306138137	1682391136.308327141	0.016281	79382560319.0	0.0	1.1720427777740052
2	11	1024	71163772368	1682391137.236599062	1682391137.238304841	0.015778	79382560319.0	0.0	1.1154911786927095
2	12	1024	68793483736	1682391137.476765398	1682391137.478314108	0.005843	79466446399.0	0.0	1.1551449655313033
2	13	1024	68641024544	1682391137.504184030	1682391137.505621106	0.005850	79466446399.0	0.0	1.1577106683199452
2	14	1024	67599639264	1682391137.531608349	1682391137.533008959	0.005828	79466446399.0	0.0	1.1755454210140976
2	15	1024	69289243560	1682391137.558990507	1682391137.560344747	0.005859	79466446399.0	0.0	1.1468799818861812
3	0	1024	70421503120	1682391137.703145378	1682391137.756279172	0.001826	79094718015.0	0.0	1.1231614565258659
3	1	1024	68654799936	1682391138.724583616	1682391138.728020988	0.016751	79220547135.0	0.0	1.153896700723757
3	2	1024	69254650776	1682391140.948675309	1682391140.951017269	0.017753	79220547135.0	0.0	1.1439021964204843
3	3	1024	70290349304	1682391141.629903537	1682391141.631992712	0.016954	79220547135.0	0.0	1.1270472820155955
3	4	1024	72043176376	1682391142.857398793	1682391142.859795345	0.016870	79220547135.0	0.0	1.099625962097238
3	5	1024	71276219024	1682391144.567073374	1682391144.569075861	0.016158	79220547135.0	0.0	1.1114583267713036
3	6	1024	69216859040	1682391146.051798599	1682391146.053688031	0.017290	79220547135.0	0.0	1.144526755963008
3	7	1024	70236809888	1682391147.717554688	1682391147.719509510	0.016975	79220547135.0	0.0	1.12790639639422
3	8	1024	70061031312	1682391148.775516961	1682391148.777208480	0.016745	79220547135.0	0.0	1.130736240267579
3	9	1024	68263043592	1682391149.705006827	1682391149.707340216	0.016675	79220547135.0	0.0	1.160518824922189
3	10	1024	67937222296	1682391151.306606457	1682391151.308300079	0.017064	79220547135.0	0.0	1.1660845771680062
3	11	1024	68615768152	1682391152.428402702	1682391152.430292316	0.017602	79220547135.0	0.0	1.1545530898890168
3	12	1024	71275531208	1682391153.131835166	1682391153.133442043	0.017424	79220547135.0	0.0	1.1114690524552449
3	13	1024	68699465840	1682391154.446014721	1682391154.448182725	0.015681	79220547135.0	0.0	1.1531464788897112
3	14	1024	71662957232	1682391156.608468726	1682391156.616180748	0.017345	79220547135.0	0.0	1.1054602014054937
3	15	1024	69604625608	1682391157.999684913	1682391158.004515290	0.017098	79220547135.0	0.0	1.1381506105808978
4	0	1024	69391939184	1682391159.153039669	1682391159.194038074	0.001304	79302868543.0	0.0	1.1428253695680723
4	1	1024	68879619768	1682391160.892323999	1682391160.894836117	0.016869	79361588799.0	0.0	1.1521780907952937
4	2	1024	69848542792	1682391161.990198343	1682391161.992743117	0.015385	79428697663.0	0.0	1.1371561164780268
4	3	1024	68695032816	1682391164.004005142	1682391164.006537610	0.016762	79428697663.0	0.0	1.1562509603241646
4	4	1024	70808095712	1682391165.479607819	1682391165.481836502	0.021985	79428697663.0	0.0	1.1217459933686516
4	5	1024	68396415752	1682391166.987503325	1682391166.989397528	0.016761	79428697663.0	0.0	1.1612991234950407
4	6	1024	70091044352	1682391168.767115012	1682391168.769502531	0.018364	79428697663.0	0.0	1.1332217745837248
4	7	1024	67939929560	1682391170.566116025	1682391170.568454280	0.015996	79428697663.0	0.0	1.1691018547915022
4	8	1024	66795182000	1682391171.931723242	1682391171.934160985	0.018766	79512583743.0	0.0	1.190393997923383
4	9	1024	70352629056	1682391173.475506545	1682391173.477202992	0.018258	79512583743.0	0.0	1.130200602449537
4	10	1024	70984254936	1682391175.250980886	1682391175.253299285	0.017504	79512583743.0	0.0	1.12014395043928
4	11	1024	70538516336	1682391176.009144783	1682391176.011197994	0.014072	79512583743.0	0.0	1.127222230820015
4	12	1024	68902170392	1682391177.554479467	1682391177.556010760	0.016287	79512583743.0	0.0	1.1539924401602295
4	13	1024	69033017080	1682391179.169065883	1682391179.170968099	0.016106	79512583743.0	0.0	1.1518051376902096
4	14	1024	69649818688	1682391180.298364811	1682391180.300043244	0.015794	79512583743.0	0.0	1.1416050356021854
4	15	1024	67176562736	1682391181.666403841	1682391181.668213044	0.014124	79512583743.0	0.0	1.1836357876106263
