run	round	allocs	total_bytes	alloc_start_time	alloc_end_time	kernel_secs	cumul_mmap_bytes	cumul_munmap_bytes	frag
1	0	1024	70610855840	1682390833.460253621	1682390835.424584871	0.025589	70616895007.0	0.0	1.0000855274578981
1	1	1024	71006246920	1682390837.165461091	1682390838.701496133	0.050480	137222999583.0	120775551.0	1.930847354690747
1	2	1024	69997980288	1682390839.663187621	1682390841.015940346	0.039989	202928659999.0	70693704575.0	1.8891252987576486
1	3	1024	70777276552	1682390841.039393648	1682390841.067417622	0.012813	269386665503.0	137257476991.0	1.8668306404093524
1	4	1024	70537227536	1682390841.090321480	1682390841.118029138	0.012640	335706066463.0	203020272511.0	1.8810746975316164
1	5	1024	70370390016	1682390841.141191136	1682390841.169499020	0.012775	402124996127.0	269511111551.0	1.8845125704980148
1	6	1024	73034008320	1682390841.193461784	1682390841.221658531	0.013195	471048044063.0	335822709631.0	1.8515392697537212
1	7	1024	68826692336	1682390841.318173315	1682390843.245905041	0.023308	535918599711.0	402206327679.0	1.9427386017511903
1	8	1024	71171947944	1682390844.768277047	1682390845.776940705	0.030856	602825539103.0	471081583487.0	1.851065755846105
1	9	1024	71478161056	1682390846.614023706	1682390848.194258314	0.034350	670335122975.0	536029586303.0	1.8789730273947243
1	10	1024	70575973752	1682390849.299623410	1682390851.477046471	0.036009	736812461599.0	602861904767.0	1.8979625743839499
1	11	1024	70986456368	1682390852.325900143	1682390853.253562648	0.035249	803943566879.0	670438404991.0	1.8807131489406594
1	12	1024	69988083192	1682390854.548027514	1682390855.467889281	0.032334	869270740511.0	736896996223.0	1.8913754778060703
1	13	1024	68971730760	1682390856.299780885	1682390857.294526907	0.033929	933603110431.0	804027962239.0	1.878670388059144
1	14	1024	70125680584	1682390858.484150307	1682390859.253401132	0.035418	999661739551.0	869379765119.0	1.8578354369900456
1	15	1024	70307123488	1682390860.117944195	1682390861.317346068	0.034937	1065818684959.0	933731943295.0	1.8787106499463675
2	0	1024	70426537304	1682390862.274480975	1682390863.072974611	0.017154	70432583199.0	0.0	1.0000858468303488
2	1	1024	67080747128	1682390865.014669463	1682390866.466169173	0.042202	132442910239.0	84476799.0	1.9731210385513522
2	2	1024	68672557016	1682390867.416387288	1682390868.518875046	0.032550	196735479327.0	70538277759.0	1.8376656855604976
2	3	1024	69522758128	1682390868.543897086	1682390868.574266104	0.013089	262080114207.0	132521239423.0	1.8635462440294166
2	4	1024	71002715288	1682390868.599256829	1682390868.629681021	0.012998	328791424543.0	196803543935.0	1.8589131425838155
2	5	1024	68596401992	1682390868.654601609	1682390868.684999668	0.012897	392835046943.0	262140474239.0	1.9052686279266098
2	6	1024	68530951504	1682390868.709449740	1682390868.739850199	0.012679	456654941727.0	328844583807.0	1.8650019460555716
2	7	1024	72751390904	1682390869.714742804	1682390870.949289864	0.037368	525435100703.0	392908661631.0	1.8216344378470635
2	8	1024	70603834544	1682390871.873691106	1682390873.782994801	0.038446	591760277023.0	456735155071.0	1.912433266890808
2	9	1024	68329307408	1682390874.728182606	1682390875.916348955	0.036733	655646617119.0	525486306175.0	1.9048972670950974
2	10	1024	71644021232	1682390877.289485897	1682390878.057112322	0.037344	723325513247.0	591844557695.0	1.8351978754268146
2	11	1024	65736974768	1682390878.886232328	1682390879.933992496	0.037094	784027434527.0	655742051199.0	1.9514950875172894
2	12	1024	69233246176	1682390880.606811335	1682390881.660208678	0.034871	849400098335.0	723435459455.0	1.8194241327321465
2	13	1024	68302657304	1682390882.367859315	1682390883.637448157	0.037685	913423285791.0	784121496447.0	1.8930711402413873
2	14	1024	70515443448	1682390884.817691325	1682390886.383098899	0.040182	979613285919.0	849482498943.0	1.8454225147426317
2	15	1024	71918487232	1682390887.982513292	1682390889.262834510	0.044008	1047501168159.0	913527321471.0	1.8628568514771064
3	0	1024	69629541064	1682390889.860594822	1682390890.370174073	0.018770	69635612191.0	0.0	1.000087191828457
3	1	1024	68751372320	1682390891.583835632	1682390892.317622569	0.042535	133914803743.0	60449663.0	1.9469335602056241
3	2	1024	68264570952	1682390892.850751579	1682390893.726232319	0.037554	197561724447.0	69674562431.0	1.8734046113894631
3	3	1024	69421325920	1682390894.329607721	1682390895.034569071	0.035339	262884883999.0	134039708543.0	1.8559883976356066
3	4	1024	70722504200	1682390895.600858003	1682390896.458094230	0.038015	329665555999.0	197595063167.0	1.8674464984796169
3	5	1024	69566029264	1682390897.305815116	1682390897.874716236	0.036669	394799578655.0	262972113791.0	1.8949976915272915
3	6	1024	67934323832	1682390899.243756800	1682390899.703145064	0.039108	458305822239.0	329795568511.0	1.8916837097812715
3	7	1024	71690081008	1682390900.299932062	1682390900.795087226	0.038279	526063791647.0	394898879359.0	1.829610323265824
3	8	1024	69190259840	1682390901.291588706	1682390902.552475753	0.036864	590837493279.0	458370065279.0	1.9145386692624973
3	9	1024	68753610240	1682390902.962719413	1682390903.434886869	0.038667	654699847199.0	526110528383.0	1.870291878013823
3	10	1024	71322629552	1682390903.858135098	1682390905.045376351	0.036791	721756655135.0	590869177215.0	1.8351465550575694
3	11	1024	69514753120	1682390905.927454445	1682390906.421363561	0.038530	787233934879.0	654792532863.0	1.9052272513630701
3	12	1024	69018921112	1682390906.822963292	1682390907.287094575	0.034960	851504598559.0	721849103231.0	1.8785500155472208
3	13	1024	69953883360	1682390908.180922424	1682390908.679767807	0.038551	917275614751.0	787267191679.0	1.8584875753493837
3	14	1024	70656425424	1682390909.556683766	1682390910.574571095	0.038114	983842029087.0	851611009919.0	1.8714648862364447
3	15	1024	69920273200	1682390911.252774022	1682390912.352572422	0.034322	1049302453791.0	917389235071.0	1.8866233308710814
4	0	1024	70974203440	1682390913.333503019	1682390914.336548780	0.020309	70980267551.0	0.0	1.0000854410575404
4	1	1024	69193372864	1682390914.955484197	1682390916.376126212	0.047966	135764065823.0	7627647.0	1.9619861347535423
4	2	1024	69777666048	1682390917.499025480	1682390918.273947910	0.040654	201263234591.0	71024907135.0	1.8664758343509105
4	3	1024	70127186392	1682390918.791327187	1682390919.385740856	0.041671	266835295775.0	135857664895.0	1.8677154698301388
4	4	1024	68936769560	1682390920.270655056	1682390921.619735647	0.037119	331764055583.0	201361474431.0	1.8916259346690512
4	5	1024	68585959128	1682390921.895182261	1682390922.632632942	0.033241	395658796575.0	266930897791.0	1.8768841381041101
4	6	1024	69992028840	1682390923.479787032	1682390924.635362483	0.042336	460993318431.0	331801576319.0	1.8458065047282604
